what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343711529
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343711529
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343711654
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343720674
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343728756
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343734181
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431343736854
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431343740355
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1431343743060
executed,command,,,"org.python.pydev.django.launching.DjangoLaunchShortcut.run",1431343744592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343747828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343753659
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431343765242
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343772652
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343797648
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431343803151
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343811764
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343816329
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343836964
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343890362
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431343931099
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431343932943
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431343936069
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1431343937616
executed,command,,,"org.python.pydev.django.launching.DjangoLaunchShortcut.run",1431343938991
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343941944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343965165
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343989135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343997308
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343997386
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431343997589
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431344001746
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431344008043
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431344008106
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431344008262
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431344011434
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431344017028
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1431344017091
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431344020951
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431344021060
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1431344027514
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431344028779
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431344036905
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431344038296
closed,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431344038296
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1431344040765
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431344041640
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431344041765
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1431344045531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431344046718
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1431344047953
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431344048265
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431344048375
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431344050250
closed,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431344050250
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431344055188
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431344058547
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1431344066783
opened,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431344067220
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431344067298
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431344072189
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1431344076643
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431344077518
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431344079377
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431344091988
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1431344120412
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431344121881
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1431344141836
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1431344166194
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431344167444
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1431344174084
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431344176084
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431344215284
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431344223253
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431344229080
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1431344233471
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431344234439
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431344236517
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431344237627
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431344247657
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1431344254016
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431344254954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431344256282
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1431344293295
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1431344302326
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1431344311403
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1431344349916
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431344368368
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1431344368415
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431344368572
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431344386305
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431344451175
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1431344460862
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431344461924
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431344464439
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431344499389
