what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392207306
started,bundle,org.eclipse.datatools.sqltools.parsers.sql.query,1.2.0.v201004291415,"org.eclipse.datatools.sqltools.parsers.sql.query",1440392208385
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1440392221260
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1440392221275
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1440392240978
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1440392244072
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1440392247260
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1440392247275
opened,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1440392247666
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1440392247760
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1440392248822
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1440392249197
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1440392250729
closed,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1440392250729
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1440392252682
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392286994
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392287807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392288494
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392313088
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1440392315745
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1440392318979
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392328807
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392329198
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1440392340479
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1440392349542
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392355792
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392356698
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1440392357557
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1440392359135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392359292
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392360651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1440392361260
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1440392363448
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1440392369495
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392371636
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392378995
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1440392379761
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1440392381573
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1440392382651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392382839
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392386558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1440392387651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392394542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392395823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1440392396151
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1440392399589
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1440392399683
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1440392401308
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1440392411276
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1440392413183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1440392416230
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1440392417526
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392964651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392964744
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392965026
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392975401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440392976104
