what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423805803356
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423805806434
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1423805807902
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423805809324
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423805811496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423805822871
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423805823230
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423805824777
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1423805829542
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1423805863728
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1423805887821
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1423805890102
executed,command,,,"org.python.pydev.django.launching.DjangoLaunchShortcut.run",1423805894555
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423805903039
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423805904304
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423805904304
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423805904445
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423805973020
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1423805975145
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423805986473
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423805992160
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423805998066
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423806005425
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423806008800
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1423806010097
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423806010378
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423806010456
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423806017518
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1423806026627
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423806036361
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1423806037642
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423806084781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423806087062
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1423806088187
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1423806089905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806094202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806095233
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1423806096452
executed,command,,,"org.python.pydev.django.launching.DjangoLaunchShortcut.run",1423806098468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806102889
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806125998
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1423806129029
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1423806130685
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1423806132107
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806134950
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806134950
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806135216
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806226931
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1423806235493
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423806243477
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1423806245258
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423806257132
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423806263585
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423806275507
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423806284178
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423806285615
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423806286772
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1423806293193
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1423806294912
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1423806296396
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423806302162
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423806303021
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423806321036
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423806341504
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806363284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806370205
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1423806371487
executed,command,,,"org.python.pydev.django.launching.DjangoLaunchShortcut.run",1423806374486
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806380111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806431421
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806436452
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806442546
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806446280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806563228
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1423806564634
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806567118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806567134
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806567259
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806568228
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806568712
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1423806897963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806910322
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423806910337
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1423806921321
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423806927993
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1423806933211
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423806934383
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806937039
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806976928
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423806999474
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423807077861
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1423807078892
