what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1438763274401
locale,sysinfo,,,"zh_CN",1438763274401
processors,sysinfo,,,"2",1438763274401
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1438763274401
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1438763274401
java.specification.name,sysinfo,,,"Java Platform API Specification",1438763274401
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1438763274401
java.specification.version,sysinfo,,,"1.6",1438763274401
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1438763274401
java.version,sysinfo,,,"1.6.0_13",1438763274401
java.vm.info,sysinfo,,,"mixed mode",1438763274401
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1438763274401
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1438763274401
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1438763274401
java.vm.specification.version,sysinfo,,,"1.0",1438763274401
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1438763274401
java.vm.version,sysinfo,,,"11.3-b02",1438763274401
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1438763274526
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1438763274557
opened,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1438763274807
opened,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1438763274932
opened,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1438763275229
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1438763276026
started,bundle,org.eclipse.datatools.sqltools.parsers.sql.query,1.2.0.v201004291415,"org.eclipse.datatools.sqltools.parsers.sql.query",1438763276370
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1438763276432
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1438763276838
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1438763276838
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1438763278213
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1438763278729
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1438763278823
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1438763279042
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1438763280651
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1438763280776
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1438763281495
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1438763282807
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1438763283292
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1438763283573
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1438763284948
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1438763285651
