what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1430096634504
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1430096636432
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1430096636933
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1430096638658
closed,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1430096638658
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1430096639535
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1430096639911
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1430096640491
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430096656511
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430097188468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430097215867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430097276924
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430097282456
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430097291207
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1430097291988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430097293347
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430097294754
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430097298989
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430097326303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430097326803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430097327944
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430097330304
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430097333491
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1430097337836
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1430097340023
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430097340508
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430097342492
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1430097343930
