what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1426851628651
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1426851628698
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1426851631777
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1426851644044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426851644951
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426851766689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1426851772440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1426851778863
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1426851780832
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1426851781082
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426851784192
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426851891615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1426851902272
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1426851905429
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426851906898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426851911585
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1426851916070
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1426851924102
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426851927039
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426851932180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426851932540
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426851937087
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1426851937962
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1426851938759
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1426851950947
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426851954619
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852028044
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1426852033279
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1426852036732
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852038076
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852104892
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1426852114393
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1426852118205
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852124034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852133159
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852134581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852173161
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852199959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852200256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1426852203194
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1426852210241
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1426852211897
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1426852212584
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1426852217225
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1426852217444
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1426852220147
opened,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1426852226975
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1426852227053
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1426852237960
closed,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1426852237960
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1426852240569
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852242507
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852250726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852251366
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852612962
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1426852625384
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852663696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852663915
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852725009
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852732305
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1426852733274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852748165
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852787508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1426852810633
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852816695
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852827211
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852830929
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852830929
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852831070
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852832789
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1426852835039
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1426852838523
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1426852846226
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1426852855929
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852857414
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852857414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852857523
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852864945
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1426852870429
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1426852872523
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1426852873820
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852884554
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852891491
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852891929
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852927272
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1426852928522
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1426852931913
opened,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1426852932194
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1426852932288
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1426852937381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852965646
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852984912
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426852988677
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426853232034
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1426853233877
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426853237362
