what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1431841836127
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431841837237
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1431841850143
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431841851346
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431841851424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1431841854424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431841855705
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431841867971
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431841876705
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1431841880705
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1431841885221
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431841891409
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1431841893315
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431841894190
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431841894252
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1431841922127
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1431841926877
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431841934252
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1431841940487
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431841940846
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431841940909
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1431841945159
executed,command,,,"org.python.pydev.django.launching.DjangoLaunchShortcut.run",1431841950549
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431841952690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431841960455
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431841961784
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431841972955
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431841976924
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431842007112
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431842010784
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1431842012690
executed,command,,,"org.python.pydev.django.launching.DjangoLaunchShortcut.run",1431842014065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842016221
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842016252
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842016315
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842024299
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431842026549
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842028299
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842096314
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1431842102751
opened,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431842104470
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431842104579
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1431842111220
opened,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431842114032
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431842114126
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842124298
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842371434
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431842379949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842386418
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842388808
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842391074
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842393167
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842397386
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842401870
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842403355
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842405323
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842408011
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842410042
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842411839
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431842418432
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842421135
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431842422245
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842426698
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431842427463
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431842435260
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842439682
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431842445229
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842454681
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431842455853
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431842474447
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842492649
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842493790
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842494540
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842495227
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842500337
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842505711
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842506493
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842507258
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431842512508
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431842514461
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431842519461
closed,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431842519461
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431842520242
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842522539
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1431842526242
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431842529039
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431842533664
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431842535336
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842538570
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842551929
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842555523
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431842563569
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431842568022
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842570725
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842580834
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431842586350
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431842590490
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431842592662
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1431842594443
executed,command,,,"org.python.pydev.django.launching.DjangoLaunchShortcut.run",1431842596381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842599490
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842647958
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1431842651473
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1431842659114
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842659879
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842693050
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842693613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842704440
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842705331
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842706347
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431842708737
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1431842713237
executed,command,,,"org.python.pydev.django.launching.DjangoLaunchShortcut.run",1431842714768
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842715315
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431842719596
