what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1425374640120
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425374649892
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425374652425
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1425374655021
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425374660960
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425374664038
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425374713343
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425374716234
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425374716437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425374721141
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425374740723
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1425374742488
executed,command,,,"org.python.pydev.django.launching.DjangoLaunchShortcut.run",1425374744661
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425374747567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425374754787
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425374757788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425374761038
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425374767414
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1425374768852
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425374816094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425374816766
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425374823173
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1425374827143
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1425374827596
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1425374828065
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1425374828315
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1425374828627
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1425374829034
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425374829909
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1425374840192
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425374849896
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1425374853334
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1425374892356
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425374946724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425374947240
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425374966257
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425374973960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425374985100
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425374990678
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425375385016
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425375388218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425375398889
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425375414700
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425375416559
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425375416559
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425375416637
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425375418153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425375418278
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425375594931
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425375612006
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425375613272
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425375613366
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425375637675
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1425375639253
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425375677076
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425375678342
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425375679342
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425375682638
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1425375685263
executed,command,,,"org.python.pydev.django.launching.DjangoLaunchShortcut.run",1425375688934
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425375697777
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425375725054
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425375729226
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1425375732444
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1425375734772
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1425375740865
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1425375741162
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1425375741271
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1425375745864
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1425375746317
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425375757410
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425375757425
