what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1432534979957
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432534984160
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432534984394
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1432534985613
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1432534987035
executed,command,,,"org.python.pydev.django.launching.DjangoLaunchShortcut.run",1432534988316
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432534990363
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432534990394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432534990457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535012221
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1432535022986
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1432535031158
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1432535035064
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1432535051532
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1432535058547
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1432535060532
executed,command,,,"org.python.pydev.django.launching.DjangoLaunchShortcut.run",1432535061860
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535062657
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535071344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535073875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535075250
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1432535076515
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1432535094405
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.2.v201101042130,"org.eclipse.jst.jsf.facelet.core",1432535122638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1432535134653
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1432535136450
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1432535139497
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1432535157168
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535170167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535178026
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1432535180229
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1432535199557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1432535200885
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1432535201791
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1432535205994
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1432535207541
executed,command,,,"org.python.pydev.django.launching.DjangoLaunchShortcut.run",1432535208822
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535211853
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535225477
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1432535227165
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1432535235961
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1432535244883
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1432535246258
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1432535249445
executed,command,,,"org.python.pydev.django.launching.DjangoLaunchShortcut.run",1432535250726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535252742
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535252773
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535252836
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535268147
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1432535269757
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535274116
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535361971
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1432535368799
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1432535370690
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535451499
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535454498
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535456264
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535538916
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1432535538932
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1432535548057
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1432535630241
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1432535633943
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535658021
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535665958
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535677582
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432535813529
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1432535835513
opened,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1432535846309
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1432535846371
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1432535850215
activated,view,org.python.pydev,2.8.1.2013072611,"org.python.pydev.navigator.view",1432535851574
activated,editor,org.python.pydev,2.8.1.2013072611,"org.python.pydev.editor.PythonEditor",1432535851793
